Word,Rating.Mean,
abasement,15.13,
abbacy,14.50,
abjuration,17.12,
abysm,15.25,
academicism,15.00,
accelerando,14.50,
accusative,13.33,
acerb,15.67,
acerbity,15.75,
acidulous,15.43,
acrostic,14.82,
actinium,NA,
adjuration,16.00,
adumbration,16.50,
aeronaut,12.92,
affray,13.00,
agglomerate,15.67,
agleam,14.71,
aglitter,13.67,
aigrette,15.00,
airforce,6.83,
airmattress,9.37,
alarmclock,5.80,
albumen,15.45,
alga,13.33,
almoner,13.00,
alongshore,11.60,
alphorn,15.00,
alumina,11.78,
ambuscade,NA,
anapestic,15.67,
anchorite,15.00,
anent,17.00,
annotator,15.44,
anodic,14.00,
antiphonal,16.00,
apothegm,15.50,
append,13.29,
apse,12.74,
aquaplane,13.54,
archiepiscopal,16.00,
archimandrite,18.33,
archon,18.17,
arsenical,14.64,
ashlar,NA,
asininity,16.43,
assiduity,16.50,
astraddle,12.62,
astrolabe,13.51,
atilt,12.25,
attainability,13.70,
attributive,13.94,
auriferous,17.00,
avowal,13.17,
babycarriage,5.52,
bacillary,18.00,
baldachin,17.50,
bandaid,4.60,
banditti,16.50,
bantling,2.00,
barbedwire,8.40,
beachball,4.95,
beleaguer,14.89,
besieger,12.88,
besom,14.00,
betterness,9.74,
bibulous,17.29,
binman,13.53,
biparental,13.50,
biretta,15.00,
blench,14.50,
boliviano,16.75,
bombazine,19.00,
bondman,13.53,
bosky,NA,
boxingglove,7.83,
braise,13.61,
braze,10.62,
breadbin,9.67,
breviary,15.00,
buboes,18.50,
buckram,16.50,
bucksaw,13.57,
budgerigar,8.98,
bunkbed,6.48,
burgee,15.00,
buskin,16.25,
calk,14.08,
calorific,14.64,
calumnious,13.67,
calve,8.84,
cambric,16.00,
campstool,13.60,
canaille,NA,
canopener,6.96,
cantonal,16.00,
capillarity,14.92,
captivation,10.58,
caravansary,15.00,
carboy,12.33,
casque,11.87,
castellated,15.50,
castled,9.36,
casuistic,16.83,
cathodic,15.50,
celandine,19.00,
celerity,15.40,
cellulosic,15.30,
cenobite,16.33,
centralizer,12.25,
cerebration,16.20,
cerise,16.55,
chaffer,16.17,
chaffinch,8.00,
chantry,13.38,
chert,13.50,
cheviot,17.00,
chirography,16.00,
chive,11.07,
christmastree,4.14,
chromo,11.00,
chronologist,14.50,
cicatrices,16.00,
cicatrix,15.33,
cinchona,14.50,
cincture,14.33,
circularize,13.25,
circumambulate,17.00,
coadjutor,17.50,
coathanger,5.36,
cockade,13.00,
codices,14.67,
coequal,14.91,
coequality,15.06,
colporteur,13.50,
comestible,15.33,
compeer,NA,
complaisance,14.91,
conchs,13.80,
concubinage,15.13,
condign,19.00,
confute,15.20,
congregational,10.74,
consistory,14.14,
consolatory,14.53,
consomme,14.33,
consonantal,15.70,
conspectus,14.00,
contrariety,13.22,
contumacious,18.50,
conurbation,13.00,
conventual,13.00,
coppice,16.60,
cornflake,5.17,
cortices,19.50,
cottar,18.00,
counterpane,13.76,
cowslip,14.43,
creche,13.29,
creditcard,9.73,
cretonne,17.67,
crowfoot,10.64,
cumbrous,14.50,
cygnet,12.00,
dactylic,16.50,
dairyman,9.30,
darksome,12.70,
dative,14.80,
dawdler,11.58,
defalcation,16.33,
dehumidify,13.00,
dentate,15.14,
denudation,15.00,
deprecatory,15.00,
deselect,11.45,
desiccant,15.33,
detestation,12.82,
devoir,13.86,
diastole,14.90,
diathermy,15.33,
direful,14.25,
discontentment,13.08,
dismissiveness,12.13,
dispiritedness,14.67,
dispraise,13.70,
disquietude,15.58,
dissatisfy,9.41,
distil,13.92,
disunite,12.55,
disunited,12.17,
ditherance,13.53,
dockhand,12.19,
dogtrot,11.44,
domiciliary,15.86,
dottle,14.40,
ebullition,16.67,
eczematous,16.50,
educable,16.33,
educe,15.33,
eglantine,18.00,
eisteddfod,25.00,
emulsifier,14.13,
encephalon,11.04,
endosperm,13.88,
engraft,14.83,
ensconce,14.58,
epaulette,13.75,
epergne,18.00,
epithalamium,17.25,
equability,13.79,
equestrienne,14.67,
equinoctial,15.00,
equipage,15.40,
errata,15.00,
escritoire,18.00,
escudo,17.00,
estimator,11.51,
eulogistic,15.73,
europium,NA,
everblooming,13.23,
execration,14.57,
exiguous,16.40,
exordium,17.50,
expositor,13.75,
extern,15.91,
exudation,15.33,
fairytale,4.95,
falchion,15.40,
false,6.72,
fane,11.67,
farseeing,11.00,
fatuity,14.58,
fecundation,17.14,
fellowman,11.54,
festal,14.44,
feudalistic,13.69,
firehose,5.76,
firehydrant,5.36,
fishinghook,7.69,
fishingpole,6.18,
fishingrod,7.64,
fishtank,5.94,
fixedness,12.38,
flambeau,14.00,
flyblown,14.60,
folkway,14.75,
forelady,14.00,
foreordain,16.27,
foulmouthed,9.10,
frays,10.69,
frontbencher,12.02,
fryingpan,6.81,
furbish,13.58,
furring,16.20,
gadgeteer,14.90,
gallimaufry,NA,
garrulity,16.20,
gasmask,10.47,
gaud,13.17,
genitive,14.43,
gerund,13.29,
glabrous,8.00,
gladsome,15.30,
glebe,15.00,
gnarl,11.35,
gokart,8.81,
goldbeater,15.83,
grandiloquence,16.88,
grapnel,10.00,
grazier,13.38,
gymkhana,16.00,
gyrocompass,14.00,
habanera,12.27,
hairsbreadth,13.58,
handcar,10.11,
handgrenade,10.74,
handspike,14.12,
hangglider,9.50,
hardihood,14.43,
headstall,15.17,
hellgrammite,14.50,
helot,17.33,
helpfulness,7.24,
hemistich,13.33,
hemstitch,13.00,
herbage,14.25,
herbicidal,12.88,
hereupon,12.20,
hiccough,10.20,
hierophant,17.75,
hornbook,13.75,
horologist,15.00,
horology,17.67,
houseless,9.65,
humanitarianism,13.62,
hutment,NA,
hydrometer,14.55,
hymnody,17.50,
hyperborean,15.33,
icecream,3.33,
icepack,6.89,
iceskate,7.97,
imaginal,11.89,
imagism,15.29,
imitable,12.44,
immiscible,13.00,
immovability,12.72,
impedimenta,16.57,
impenitent,14.56,
importunity,15.67,
impregnability,14.50,
impulsion,13.82,
inalienability,14.25,
inanition,14.00,
incapability,12.39,
incertitude,18.33,
inclemency,14.86,
incorrigibility,13.29,
incredibility,11.06,
inculpable,15.73,
inculpate,17.50,
incunabulum,15.00,
indefeasible,15.00,
indention,11.81,
indestructibility,12.55,
indicia,17.00,
inebriety,14.60,
ineffaceable,14.89,
inexpiable,15.17,
infatuate,11.43,
infelicitous,15.57,
